Unnamed: 0,geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,DemandGen_spend,Conversions,Population,Revenue_Per_Conversion
81,Alabama,2024-11-04,925.00,997.00,719.00,196.00,508.13,55.48,17.09,2.56,3.00,5039877.00,1764.00
82,Alabama,2024-11-11,1269.00,1717.00,730.00,144.00,597.97,87.73,17.34,4.16,2.00,5039877.00,1176.00
83,Alabama,2024-11-18,1128.00,1554.00,4037.00,117.00,557.56,48.87,14.20,4.96,2.00,5039877.00,1176.00
84,Alabama,2024-11-25,886.00,482.00,2027.00,83.00,440.87,46.83,15.41,1.08,0.00,5039877.00,0.00
85,Alabama,2024-12-02,821.00,966.00,1692.00,169.00,424.97,41.49,18.86,1.27,2.00,5039877.00,1176.00
86,Alabama,2024-12-09,842.00,695.00,1582.00,126.00,445.38,36.72,21.19,3.90,1.00,5039877.00,588.00
87,Alabama,2024-12-16,838.00,886.00,895.00,51.00,456.28,34.11,16.22,1.07,5.00,5039877.00,2940.00
88,Alabama,2024-12-23,884.00,97.00,1018.00,62.00,577.77,19.18,20.99,3.25,1.00,5039877.00,588.00
89,Alabama,2024-12-30,587.00,160.00,1730.00,215.00,176.65,0.57,13.25,0.81,0.00,5039877.00,0.00
90,Alabama,2025-01-06,598.00,614.00,2041.00,865.00,131.42,14.52,13.28,5.41,1.00,5039877.00,588.00
91,Alabama,2025-01-13,1171.00,691.00,2399.00,742.00,609.88,7.81,15.18,9.27,6.00,5039877.00,3528.00
92,Alabama,2025-01-20,1456.00,605.00,1607.00,849.00,688.35,2.90,20.44,28.78,11.00,5039877.00,6468.00
93,Alabama,2025-01-27,1445.00,257.00,1262.00,1405.00,658.95,4.23,17.28,33.13,6.00,5039877.00,3528.00
94,Alabama,2025-02-03,1103.00,165.00,570.00,1211.00,522.30,16.24,7.96,15.69,6.00,5039877.00,3528.00
95,Alabama,2025-02-10,1149.00,87.00,429.00,330.00,557.83,11.70,42.23,27.97,8.00,5039877.00,4704.00
96,Alabama,2025-02-17,941.00,36.00,331.00,283.00,465.20,9.80,6.55,12.85,5.00,5039877.00,2940.00
97,Alaska,2023-09-25,22.00,1.00,0.00,0.00,5.91,0.00,0.00,0.00,0.00,732673.00,0.00
98,Alaska,2023-10-02,136.00,12.00,111.00,0.00,18.19,0.00,1.28,0.00,0.00,732673.00,0.00
99,Alaska,2023-10-09,63.00,0.00,250.00,0.00,21.60,0.00,2.17,0.00,0.00,732673.00,0.00
100,Alaska,2023-10-16,118.00,9.00,164.00,0.00,24.89,2.33,1.64,0.00,0.00,732673.00,0.00
101,Alaska,2023-10-23,123.00,153.00,96.00,0.00,22.80,0.58,1.14,0.00,0.00,732673.00,0.00
102,Alaska,2023-10-30,130.00,353.00,92.00,0.00,24.05,0.00,1.26,0.00,0.00,732673.00,0.00
103,Alaska,2023-11-06,74.00,16.00,97.00,0.00,12.56,0.00,1.25,0.00,0.00,732673.00,0.00
104,Alaska,2023-11-13,101.00,16.00,91.00,0.00,12.65,0.00,1.28,0.00,0.00,732673.00,0.00
105,Alaska,2023-11-20,119.00,6.00,82.00,0.00,10.14,0.00,0.97,0.00,0.00,732673.00,0.00
106,Alaska,2023-11-27,100.00,5.00,87.00,0.00,24.60,0.00,1.45,0.00,0.00,732673.00,0.00
107,Alaska,2023-12-04,107.00,26.00,117.00,0.00,18.65,2.23,1.57,0.00,0.00,732673.00,0.00
108,Alaska,2023-12-11,128.00,44.00,137.00,0.00,20.72,0.00,1.84,0.00,0.00,732673.00,0.00
109,Alaska,2023-12-18,121.00,22.00,238.00,0.00,11.91,0.00,3.21,0.00,0.00,732673.00,0.00
110,Alaska,2023-12-25,294.00,40.00,420.00,0.00,82.03,0.00,4.46,0.00,0.00,732673.00,0.00
111,Alaska,2024-01-01,270.00,0.00,549.00,0.00,44.31,0.00,4.39,0.00,0.00,732673.00,0.00
112,Alaska,2024-01-08,206.00,20.00,393.00,0.00,20.57,0.00,4.53,0.00,0.00,732673.00,0.00
