geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
Essex,9/2/24,750,37,"1,261",,$253.33,$0.61,$6.91, --,3,1832700,"$1,764"
Florida,9/2/24,"6,755","3,956","8,032","1,328","$2,419.16",$53.54,$122.68,$33.44,16,21781128,"$9,408"
Georgia,9/2/24,"3,829","1,834","5,473",632,"$1,546.72",$84.53,$84.64,$14.81,6,10711908,"$3,528"
Glasgow City,9/2/24,424,133,723,,$137.51,$4.19,$3.42, --,3,635640,"$1,764"
Hampshire,9/2/24,589,30,712,,$239.73,$0.00,$3.34, --,0,1389200,$0
Hawaii,9/2/24,233,389,"1,302",211,$67.00,$1.68,$17.11,$5.10,1,1455271,$588
Idaho,9/2/24,280,101,253,44,$67.04,$0.00,$3.44,$0.80,0,1839106,$0
Illinois,9/2/24,"2,893","2,729","6,197",375,"$1,114.81",$21.56,$99.27,$11.82,3,12671469,"$1,764"
Indiana,9/2/24,"1,266",445,"1,356",138,$381.30,$14.27,$21.22,$1.76,1,6785528,$588
Iowa,9/2/24,463,214,487,45,$170.54,$0.52,$7.26,$1.36,2,3190369,"$1,176"
Isle of Anglesey,9/2/24,13,6,24,,$4.30,$0.00,$0.37, --,0,69961,$0
Kansas,9/2/24,518,179,543,61,$180.87,$0.07,$9.47,$1.02,0,2937880,$0
Kent,9/2/24,761,49,"1,566",,$199.42,$2.98,$10.38, --,0,1589100,$0
Kentucky,9/2/24,792,333,664,57,$295.01,$29.24,$12.69,$1.09,0,4505836,$0
Kingston upon Hull,9/2/24,95,15,126,,$53.70,$0.00,$1.09, --,0,259778,$0
Lancashire,9/2/24,439,92,624,,$121.23,$1.22,$4.47, --,1,1517500,$588
Louisiana,9/2/24,"1,022",401,932,118,$491.98,$20.05,$14.74,$2.89,7,4657757,"$4,116"
Maine,9/2/24,305,196,229,38,$132.36,$0.00,$3.34,$0.62,0,1372247,$0
Maryland,9/2/24,"2,317","1,354","3,501",346,"$1,040.31",$45.22,$53.71,$8.87,8,6165129,"$4,704"
Massachusetts,9/2/24,"1,639","2,836","3,892",294,$520.98,$28.98,$57.36,$5.46,1,6984723,$588
Michigan,9/2/24,"2,038",971,"1,810",233,$643.25,$14.37,$33.24,$4.93,8,10077331,"$4,704"
Midlothian,9/2/24,33,14,29,,$17.69,$5.11,$0.07, --,0,93830,$0
Minnesota,9/2/24,933,615,"1,420",107,$227.75,$0.37,$18.80,$1.56,0,5706398,$0
Mississippi,9/2/24,608,137,501,45,$279.28,$4.17,$17.23,$1.28,1.5,2949965,$882
Missouri,9/2/24,"1,188",468,"1,200",99,$406.17,$20.71,$18.04,$2.24,2,6168187,"$1,176"
Montana,9/2/24,200,83,122,13,$42.50,$0.00,$1.82,$0.46,1,1084225,$588
Nebraska,9/2/24,338,141,307,34,$69.78,$0.00,$4.73,$1.05,2,1961504,"$1,176"
Nevada,9/2/24,741,533,"1,144",180,$244.88,$1.86,$19.23,$3.46,2,3104614,"$1,176"
New Hampshire,9/2/24,275,196,362,30,$98.53,$0.00,$5.46,$0.59,1,1388992,$588
New Jersey,9/2/24,"2,725","2,530","5,139",482,$902.09,$87.75,$68.09,$15.07,9,9288994,"$5,292"
New Mexico,9/2/24,350,187,436,68,$91.53,$2.72,$9.78,$2.25,1,2117522,$588
New York,9/2/24,"5,595","13,717","12,341",935,"$2,257.11",$466.24,$186.25,$25.08,18,19835913,"$10,584"
North Carolina,9/2/24,"2,986","1,948","2,579",428,"$1,191.62",$40.69,$43.85,$7.09,14,10551162,"$8,232"
North Dakota,9/2/24,123,43,115,14,$25.81,$0.00,$1.88,$0.28,1,779702,$588
North Lanarkshire,9/2/24,79,48,129,,$30.71,$2.12,$1.19, --,3,341140,"$1,764"
Northern Ireland,9/2/24,586,235,723,,$208.62,$3.47,$4.15, --,1,1903100,$588
Ohio,9/2/24,"2,536","1,499","2,263",213,$880.92,$56.11,$40.72,$4.04,11,11780017,"$6,468"
Oklahoma,9/2/24,689,178,740,80,$284.08,$1.85,$10.83,$1.47,1,3986639,$588
Oregon,9/2/24,632,560,"1,381",131,$153.43,$12.83,$24.04,$3.05,1,4237256,$588
Orkney,9/2/24,4,1,4,,$0.00,$0.00,$0.01, --,0,22400,$0
Pembrokeshire,9/2/24,40,14,47,,$12.38,$0.00,$0.21, --,0,125818,$0
Pennsylvania,9/2/24,"2,556","1,753","3,570",285,$929.70,$61.12,$61.11,$6.48,6,12964056,"$3,528"
Plymouth,9/2/24,108,15,91,,$31.39,$0.00,$0.38, --,1,263100,$588
Powys,9/2/24,20,6,34,,$4.47,$1.57,$0.15, --,1,133030,$588
Rhode Island,9/2/24,247,179,233,26,$65.81,$0.46,$3.30,$0.28,0,1098163,$0
San Francisco Bay Area,9/2/24,"1,188","3,393","4,538",675,$563.43,$63.47,$59.31,$14.70,4,7753000,"$2,352"
Scotland,9/2/24,"1,589",451,"2,339",,$465.16,$11.56,$12.57, --,6,5479900,"$3,528"
Silicon Valley,9/2/24,361,931,"1,315",241,$126.92,$5.29,$16.56,$4.18,0,3137600,$0
Somerset,9/2/24,183,33,306,,$83.05,$0.00,$1.40, --,2,965424,"$1,176"
South Carolina,9/2/24,"1,470",866,959,185,$615.65,$26.67,$15.66,$4.37,2,5190705,"$1,176"
South Dakota,9/2/24,132,41,137,18,$46.06,$0.49,$1.63,$0.18,0,903027,$0
Stoke-on-Trent,9/2/24,95,10,159,,$40.38,$0.00,$0.94, --,2,256621,"$1,176"
Tennessee,9/2/24,"1,579","1,137","1,392",148,$717.77,$37.46,$26.86,$3.78,4.5,6975218,"$2,646"
Texas,9/2/24,"6,996","3,389","11,988","1,127","$2,487.31",$121.88,$175.18,$18.88,12,29527941,"$7,056"
Utah,9/2/24,645,294,693,111,$174.95,$3.85,$10.57,$10.23,2,3337975,"$1,176"
Vale of Glamorgan,9/2/24,34,5,41,,$13.62,$0.00,$0.12, --,0,136720,$0
Vermont,9/2/24,116,137,141,18,$22.17,$1.60,$2.37,$0.73,0,643077,$0
Virginia,9/2/24,"2,438","2,896","4,585",370,$919.21,$52.11,$64.64,$6.67,8.5,8642274,"$4,998"
Wales,9/2/24,"1,061",153,"1,169",,$347.26,$3.00,$7.97, --,4,3105000,"$2,352"
Washington,9/2/24,"1,388","2,175","3,178",377,$399.37,$7.02,$45.56,$13.35,2,7796941,"$1,176"
West Virginia,9/2/24,279,49,235,11,$153.91,$0.00,$3.29,$0.10,2,1782959,"$1,176"
Wisconsin,9/2/24,976,466,784,68,$365.06,$3.16,$20.17,$1.30,4,5893718,"$2,352"
Wyoming,9/2/24,95,41,102,13,$44.85,$0.00,$1.15,$0.22,0,577719,$0
Akrotiri and Dhekelia,9/9/24,1,,4,,$0.00, --,$0.01, --,0,18195,$0
Alabama,9/9/24,834,650,"1,077",81,$289.84,$22.22,$21.04,$0.33,5,5039877,"$2,940"
Alaska,9/9/24,116,79,222,31,$19.83,$13.39,$2.92,$0.16,0,732673,$0
Arizona,9/9/24,"1,076",767,"1,415",201,$436.11,$12.97,$24.40,$1.27,7,7359197,"$4,116"
Arkansas,9/9/24,451,189,519,37,$177.00,$12.81,$8.31,$0.36,1,3011524,$588
Bedford,9/9/24,46,3,172,,$0.00,$0.00,$0.85, --,0,173292,$0
Berkshire,9/9/24,288,47,701,,$110.20,$0.00,$4.25, --,0,942400,$0
Blackpool,9/9/24,66,65,81,,$14.38,$0.72,$0.66, --,0,139300,$0
Buckinghamshire,9/9/24,223,17,599,,$70.78,$0.00,$6.13, --,0,812200,$0
Caerphilly County Borough,9/9/24,64,13,41,,$20.12,$0.00,$0.27, --,1,181019,$588
California,9/9/24,"3,958","5,600","11,116",971,"$1,456.19",$147.63,$162.50,$21.95,14,39538223,"$8,232"
Central Bedfordshire,9/9/24,72,12,136,,$27.25,$0.00,$1.28, --,0,294200,$0
Cheshire East,9/9/24,130,60,268,,$56.95,$0.00,$1.59, --,1,398800,$588
Colorado,9/9/24,903,"1,400","1,529",120,$192.62,$14.07,$31.26,$0.76,3,5807719,"$1,764"
Connecticut,9/9/24,633,970,"1,029",81,$184.16,$30.09,$15.40,$2.40,1,3605597,$588
County Tyrone,9/9/24,52,18,74,,$9.05,$0.00,$0.27, --,0,182000,$0
Delaware,9/9/24,265,191,393,11,$118.36,$0.59,$5.46,$0.08,0,1003384,$0
Devon,9/9/24,217,30,269,,$108.42,$0.00,$1.18, --,1,1194166,$588
District of Columbia,9/9/24,359,708,"1,014",57,$426.28,$15.34,$16.80,$0.66,2,689545,"$1,176"
Dundee City Council,9/9/24,47,9,88,,$21.67,$0.00,$0.42, --,0,148210,$0
England,9/9/24,"20,957","7,430","56,991",,"$7,955.53",$143.24,$367.00, --,117,56489800,"$68,796"
Essex,9/9/24,636,169,955,,$187.84,$0.25,$5.71, --,1,1832700,$588
Florida,9/9/24,"5,225","4,804","7,561",740,"$2,399.73",$248.30,$117.95,$23.08,29,21781128,"$17,052"
Georgia,9/9/24,"3,113","2,467","5,670",275,"$1,263.58",$120.18,$89.63,$5.73,10,10711908,"$5,880"
Glasgow City,9/9/24,379,63,720,,$125.38,$2.15,$4.70, --,0,635640,$0
Hampshire,9/9/24,414,79,566,,$196.01,$0.35,$4.17, --,3,1389200,"$1,764"
Hawaii,9/9/24,181,522,"1,136",109,$33.55,$6.38,$18.51,$1.52,0,1455271,$0
Idaho,9/9/24,219,96,303,30,$124.21,$0.00,$4.73,$0.20,0,1839106,$0
Illinois,9/9/24,"2,236","2,614","6,104",268,$837.17,$131.96,$106.94,$2.77,13,12671469,"$7,644"
Indiana,9/9/24,932,723,"1,363",85,$303.15,$35.56,$21.00,$1.53,2,6785528,"$1,176"
Iowa,9/9/24,322,189,514,37,$152.94,$4.03,$6.44,$0.21,0,3190369,$0
Isle of Anglesey,9/9/24,19,4,11,,$7.20,$0.00,$0.02, --,0,69961,$0
Kansas,9/9/24,389,218,480,38,$114.38,$2.05,$7.00,$1.64,0,2937880,$0
Kent,9/9/24,704,142,"1,226",,$296.51,$0.15,$8.39, --,2,1589100,"$1,176"
Kentucky,9/9/24,597,434,800,50,$286.42,$10.59,$10.37,$0.57,4,4505836,"$2,352"
Kingston upon Hull,9/9/24,88,19,130,,$22.33,$0.00,$0.58, --,1,259778,$588
Lancashire,9/9/24,454,89,618,,$175.13,$2.03,$3.12, --,3,1517500,"$1,764"
Louisiana,9/9/24,675,473,957,75,$215.24,$10.28,$15.41,$0.33,0,4657757,$0
Maine,9/9/24,174,208,248,35,$68.99,$0.77,$4.84,$0.08,0,1372247,$0
Maryland,9/9/24,"1,624","1,432","3,501",167,$546.01,$27.95,$56.36,$1.20,11,6165129,"$6,468"
Massachusetts,9/9/24,"1,256","2,766","3,776",166,$395.57,$67.20,$57.93,$1.78,2,6984723,"$1,176"
Michigan,9/9/24,"1,564","1,108","1,908",144,$722.44,$35.26,$38.01,$4.35,4,10077331,"$2,352"
Midlothian,9/9/24,26,18,19,,$7.99,$0.00,$0.12, --,2,93830,"$1,176"
Minnesota,9/9/24,757,632,"1,410",67,$248.47,$12.16,$21.63,$0.49,3,5706398,"$1,764"
Mississippi,9/9/24,464,241,546,26,$172.96,$7.18,$22.03,$0.17,3,2949965,"$1,764"
Missouri,9/9/24,931,574,"1,354",96,$346.39,$10.10,$21.56,$0.36,2,6168187,"$1,176"
Montana,9/9/24,127,84,103,19,$72.76,$0.02,$1.59,$0.03,0,1084225,$0
Nebraska,9/9/24,256,123,311,34,$61.10,$2.01,$5.24,$1.16,0,1961504,$0
Nevada,9/9/24,586,462,991,107,$169.58,$21.40,$16.15,$5.48,2,3104614,"$1,176"
New Hampshire,9/9/24,221,202,407,22,$66.08,$0.86,$6.83,$0.34,0,1388992,$0
New Jersey,9/9/24,"2,246","2,836","4,830",271,$791.30,$138.89,$78.88,$10.03,5,9288994,"$2,940"
New Mexico,9/9/24,255,178,473,45,$115.77,$8.70,$14.37,$0.44,2,2117522,"$1,176"
New York,9/9/24,"4,265","16,602","12,028",546,"$1,765.50",$942.65,$182.21,$6.35,32,19835913,"$18,816"
North Carolina,9/9/24,"2,273","2,116","2,853",261,$795.83,$73.55,$48.93,$5.04,11,10551162,"$6,468"
North Dakota,9/9/24,89,27,146,6,$27.85,$0.00,$2.46,$0.02,0,779702,$0
North Lanarkshire,9/9/24,71,72,82,,$28.61,$0.96,$0.23, --,0,341140,$0
Northern Ireland,9/9/24,499,197,460,,$238.96,$1.56,$2.39, --,3,1903100,"$1,764"
Ohio,9/9/24,"1,925","1,772","2,311",153,$654.50,$65.04,$36.88,$6.29,2,11780017,"$1,176"
Oklahoma,9/9/24,553,154,738,48,$163.26,$2.64,$13.72,$0.45,0,3986639,$0
Oregon,9/9/24,453,509,"1,200",66,$110.95,$6.18,$17.24,$0.80,1,4237256,$588
Orkney,9/9/24,6,,4,,$0.00, --,$0.02, --,0,22400,$0
Pembrokeshire,9/9/24,52,3,20,,$11.19,$0.00,$0.14, --,0,125818,$0
Pennsylvania,9/9/24,"2,064","2,219","3,179",210,$752.91,$77.73,$57.36,$3.85,5,12964056,"$2,940"
Plymouth,9/9/24,131,18,138,,$54.63,$0.00,$0.94, --,0,263100,$0
Powys,9/9/24,29,7,17,,$1.76,$0.00,$0.08, --,0,133030,$0
Rhode Island,9/9/24,167,194,234,25,$58.81,$11.60,$3.01,$0.06,0,1098163,$0
San Francisco Bay Area,9/9/24,992,"4,078","3,719",299,$491.76,$49.04,$52.16,$17.10,2,7753000,"$1,176"
Scotland,9/9/24,"1,303",487,"1,922",,$532.00,$7.81,$12.81, --,8,5479900,"$4,704"
Silicon Valley,9/9/24,295,"2,403","1,099",84,$119.16,$17.65,$15.39,$0.54,1,3137600,$588
Somerset,9/9/24,185,26,181,,$101.60,$0.65,$0.97, --,4,965424,"$2,352"
South Carolina,9/9/24,"1,074","1,467","1,147",89,$388.61,$51.73,$21.76,$0.37,3,5190705,"$1,764"
South Dakota,9/9/24,97,34,128,4,$26.55,$0.49,$1.66,$0.01,2,903027,"$1,176"
Stoke-on-Trent,9/9/24,93,53,125,,$38.30,$0.00,$1.91, --,0,256621,$0
Tennessee,9/9/24,"1,189",820,"1,492",98,$730.16,$22.14,$28.30,$2.35,7,6975218,"$4,116"
Texas,9/9/24,"5,116","4,033","10,933",588,"$1,961.72",$137.51,$166.13,$10.81,15,29527941,"$8,820"
Utah,9/9/24,442,169,645,75,$141.11,$1.83,$9.24,$0.54,0,3337975,$0
Vale of Glamorgan,9/9/24,31,1,35,,$9.63,$0.00,$0.25, --,0,136720,$0
Vermont,9/9/24,81,99,134,8,$12.46,$2.15,$2.02,$0.07,0,643077,$0
Virginia,9/9/24,"1,881","2,615","4,149",234,$781.69,$41.76,$59.13,$3.02,3.5,8642274,"$2,058"
Wales,9/9/24,929,266,917,,$391.39,$0.00,$5.56, --,3,3105000,"$1,764"
Washington,9/9/24,"1,107","1,811","2,786",193,$447.87,$24.15,$39.59,$2.09,3,7796941,"$1,764"
West Virginia,9/9/24,200,64,245,14,$50.67,$5.56,$2.92,$0.03,3,1782959,"$1,764"
Wisconsin,9/9/24,696,509,726,57,$239.11,$6.88,$14.80,$0.83,1,5893718,$588
Wyoming,9/9/24,84,59,109,19,$48.00,$3.31,$1.24,$0.16,0,577719,$0
Akrotiri and Dhekelia,9/16/24,6,1,,,$0.00,$0.00, --, --,0,18195,$0
Alabama,9/16/24,769,"1,857","1,205",258,$294.43,$53.50,$28.39,$2.63,1,5039877,$588
Alaska,9/16/24,84,309,151,40,$44.98,$3.41,$2.62,$1.87,2,732673,"$1,176"
Arizona,9/16/24,"1,002","3,893","1,220",380,$543.03,$57.15,$20.65,$6.04,2,7359197,"$1,176"
Arkansas,9/16/24,386,"1,051",542,101,$242.38,$9.25,$11.04,$1.55,1,3011524,$588
Bedford,9/16/24,47,1,49,,$6.33,$0.00,$0.58, --,0,173292,$0
Berkshire,9/16/24,256,23,194,,$71.70,$0.00,$2.98, --,0,942400,$0
Blackpool,9/16/24,69,17,28,,$28.16,$0.00,$0.39, --,0,139300,$0
Buckinghamshire,9/16/24,216,28,186,,$58.64,$0.00,$3.98, --,0,812200,$0
Caerphilly County Borough,9/16/24,60,16,19,,$31.84,$0.00,$0.33, --,1,181019,$588
California,9/16/24,"3,649","24,767","10,329","1,863","$1,442.83",$230.80,$143.93,$28.37,6,39538223,"$3,528"
Central Bedfordshire,9/16/24,103,12,40,,$35.15,$0.00,$0.72, --,0,294200,$0
Cheshire East,9/16/24,165,13,57,,$67.50,$0.00,$1.83, --,0,398800,$0
Colorado,9/16/24,836,"5,925","1,304",230,$229.46,$22.54,$22.83,$2.76,1,5807719,$588
Connecticut,9/16/24,629,"3,921",923,104,$350.05,$32.07,$13.76,$1.26,3,3605597,"$1,764"
County Tyrone,9/16/24,42,5,22,,$18.29,$0.00,$0.22, --,0,182000,$0
Delaware,9/16/24,224,762,367,32,$60.97,$7.83,$5.80,$0.41,0,1003384,$0
Devon,9/16/24,292,120,81,,$143.34,$0.00,$1.85, --,3,1194166,"$1,764"
District of Columbia,9/16/24,370,"2,930","1,018",94,$157.11,$24.55,$21.62,$0.97,1,689545,$588
Dundee City Council,9/16/24,58,240,38,,$13.50,$0.00,$0.58, --,0,148210,$0
England,9/16/24,"20,292","5,436","19,049",,"$7,755.16",$138.84,$345.49, --,58,56489800,"$34,104"
Essex,9/16/24,643,141,316,,$247.46,$1.47,$6.09, --,1,1832700,$588
Florida,9/16/24,"4,603","14,721","6,645","1,011","$1,814.51",$161.53,$111.98,$19.89,12,21781128,"$7,056"
Georgia,9/16/24,"3,037","7,836","5,147",719,"$1,240.90",$85.77,$91.44,$15.68,6,10711908,"$3,528"
Glasgow City,9/16/24,330,241,208,,$111.54,$4.72,$3.57, --,1,635640,$588
Hampshire,9/16/24,481,131,157,,$194.43,$0.00,$2.26, --,1,1389200,$588
Hawaii,9/16/24,151,"2,033","1,042",176,$60.39,$13.44,$12.59,$1.63,1,1455271,$588
Idaho,9/16/24,191,557,260,53,$62.13,$1.95,$5.27,$0.29,0,1839106,$0
Illinois,9/16/24,"2,088","10,633","5,534",447,$874.52,$103.55,$90.75,$7.00,8,12671469,"$4,704"
Indiana,9/16/24,948,"2,742","1,347",208,$389.03,$43.21,$20.62,$1.69,3,6785528,"$1,764"
Iowa,9/16/24,353,"1,096",504,39,$127.80,$6.09,$8.60,$1.19,1,3190369,$588
Isle of Anglesey,9/16/24,19,0,1,,$10.25,$0.00,$0.03, --,0,69961,$0
Kansas,9/16/24,332,"1,112",532,78,$136.24,$11.52,$9.88,$0.60,0,2937880,$0
Kent,9/16/24,650,195,431,,$245.45,$0.00,$8.84, --,0,1589100,$0
Kentucky,9/16/24,565,"1,534",756,105,$153.40,$19.67,$13.18,$3.69,3,4505836,"$1,764"
Kingston upon Hull,9/16/24,88,7,40,,$37.88,$0.00,$0.42, --,0,259778,$0
Lancashire,9/16/24,435,80,238,,$187.97,$1.18,$3.53, --,3,1517500,"$1,764"
Louisiana,9/16/24,679,"2,340",984,207,$342.13,$29.75,$19.19,$2.26,1,4657757,$588
Maine,9/16/24,182,"1,182",262,36,$91.18,$2.19,$4.55,$0.22,0,1372247,$0
Maryland,9/16/24,"1,555","6,168","3,257",403,$588.87,$58.77,$61.96,$4.70,8,6165129,"$4,704"
Massachusetts,9/16/24,"1,200","10,603","3,306",262,$382.40,$120.66,$47.03,$8.99,2,6984723,"$1,176"
Michigan,9/16/24,"1,390","4,968","1,683",232,$440.17,$27.00,$38.16,$2.73,2,10077331,"$1,176"
Midlothian,9/16/24,29,6,9,,$12.38,$0.00,$0.07, --,0,93830,$0
Minnesota,9/16/24,664,"3,479","1,311",132,$246.50,$16.47,$20.56,$1.58,3,5706398,"$1,764"
Mississippi,9/16/24,401,"1,171",680,113,$160.63,$10.16,$24.05,$1.43,0,2949965,$0
Missouri,9/16/24,864,"2,930","1,219",195,$351.83,$21.64,$20.90,$2.37,1,6168187,$588
Montana,9/16/24,128,459,90,14,$52.79,$1.49,$1.30,$0.09,0,1084225,$0
Nebraska,9/16/24,231,719,314,42,$76.68,$4.72,$4.49,$0.42,0,1961504,$0
Nevada,9/16/24,551,"2,195",917,221,$374.01,$29.85,$14.69,$4.17,4,3104614,"$2,352"
New Hampshire,9/16/24,186,929,365,19,$52.68,$0.00,$4.78,$0.09,1,1388992,$588
New Jersey,9/16/24,"1,868","9,942","4,330",435,$695.92,$101.74,$65.71,$4.37,6,9288994,"$3,528"
New Mexico,9/16/24,229,"1,148",371,61,$91.82,$2.11,$6.14,$0.59,0,2117522,$0
New York,9/16/24,"3,849","34,779","10,814",808,"$1,454.02",$616.31,$178.68,$11.24,14,19835913,"$8,232"
North Carolina,9/16/24,"2,065","9,213","3,002",715,$888.73,$78.44,$68.99,$10.96,6,10551162,"$3,528"
North Dakota,9/16/24,71,194,131,15,$15.36,$23.64,$1.85,$0.13,0,779702,$0
North Lanarkshire,9/16/24,79,24,26,,$26.85,$0.00,$0.53, --,0,341140,$0
Northern Ireland,9/16/24,463,126,200,,$153.00,$0.58,$3.23, --,1,1903100,$588
Ohio,9/16/24,"1,890","6,021","2,217",263,$537.66,$65.28,$41.73,$2.42,2,11780017,"$1,176"
Oklahoma,9/16/24,451,"1,067",712,108,$264.59,$12.89,$12.63,$1.16,2,3986639,"$1,176"
Oregon,9/16/24,420,"2,630","1,099",137,$112.86,$16.41,$15.00,$1.56,0,4237256,$0
Orkney,9/16/24,7,,,,$0.54, --, --, --,0,22400,$0
Pembrokeshire,9/16/24,51,4,12,,$9.37,$0.00,$0.13, --,0,125818,$0
Pennsylvania,9/16/24,"2,065","7,841","3,030",320,$633.10,$91.22,$52.92,$5.25,7,12964056,"$4,116"
Plymouth,9/16/24,161,9,67,,$50.51,$0.00,$0.71, --,0,263100,$0
Powys,9/16/24,32,9,11,,$22.49,$0.00,$0.10, --,0,133030,$0
Rhode Island,9/16/24,181,870,230,25,$250.34,$33.58,$4.18,$2.67,1,1098163,$588
San Francisco Bay Area,9/16/24,832,"15,232","3,533",532,$347.68,$108.58,$46.29,$17.03,6,7753000,"$3,528"
Scotland,9/16/24,"1,175",665,558,,$529.24,$2.80,$14.81, --,2,5479900,"$1,176"
Silicon Valley,9/16/24,251,"4,330",999,213,$118.07,$36.10,$13.70,$2.14,3,3137600,"$1,764"
Somerset,9/16/24,195,10,56,,$74.19,$0.00,$1.76, --,1,965424,$588
South Carolina,9/16/24,"1,021","3,255","1,256",219,$435.22,$39.20,$28.42,$2.45,2,5190705,"$1,176"
South Dakota,9/16/24,90,192,135,22,$34.22,$1.48,$2.08,$0.48,0,903027,$0
Stoke-on-Trent,9/16/24,85,4,82,,$27.52,$0.00,$2.00, --,0,256621,$0
Tennessee,9/16/24,"1,080","3,008","1,441",227,$440.81,$36.18,$30.75,$3.02,3,6975218,"$1,764"
Texas,9/16/24,"4,862","18,498","10,286","1,578","$1,968.56",$147.23,$168.31,$26.31,16,29527941,"$9,408"
Utah,9/16/24,356,"1,549",609,102,$93.17,$11.51,$9.96,$1.17,0,3337975,$0
Vale of Glamorgan,9/16/24,23,12,9,,$4.94,$0.00,$0.16, --,0,136720,$0
Vermont,9/16/24,50,673,130,31,$20.19,$0.00,$2.63,$0.71,0,643077,$0
Virginia,9/16/24,"1,668","10,465","3,913",426,$816.96,$76.20,$60.50,$5.11,10,8642274,"$5,880"
Wales,9/16/24,964,242,387,,$428.48,$4.92,$7.73, --,4,3105000,"$2,352"
Washington,9/16/24,942,"6,382","2,737",455,$471.49,$44.88,$37.21,$4.33,0,7796941,$0
West Virginia,9/16/24,166,356,273,18,$47.39,$4.59,$3.88,$0.13,0,1782959,$0
Wisconsin,9/16/24,663,"2,386",689,143,$226.49,$2.24,$14.51,$1.41,3,5893718,"$1,764"
Wyoming,9/16/24,75,303,96,8,$24.40,$4.04,$1.64,$0.07,0,577719,$0
Akrotiri and Dhekelia,9/23/24,3,,5,,$0.00, --,$0.01, --,0,18195,$0
Alabama,9/23/24,812,"3,372","1,593",194,$255.70,$18.28,$33.88,$1.67,3,5039877,"$1,764"
Alaska,9/23/24,96,363,168,27,$61.98,$0.44,$2.10,$0.18,0,732673,$0
Arizona,9/23/24,"1,169","5,466","1,097",262,$425.03,$27.92,$16.44,$2.70,2,7359197,"$1,176"
Arkansas,9/23/24,393,"1,871",750,64,$165.98,$7.28,$20.73,$1.15,0,3011524,$0
Bedford,9/23/24,35,16,152,,$5.87,$0.00,$1.20, --,0,173292,$0
Berkshire,9/23/24,235,222,506,,$99.91,$0.00,$1.86, --,0,942400,$0
Blackpool,9/23/24,34,40,42,,$6.49,$0.00,$0.31, --,0,139300,$0
Buckinghamshire,9/23/24,160,70,428,,$51.01,$0.60,$1.55, --,0,812200,$0
Caerphilly County Borough,9/23/24,43,39,25,,$26.06,$0.72,$0.14, --,0,181019,$0
California,9/23/24,"3,943","28,383","9,379","1,278","$1,588.58",$129.59,$135.66,$20.34,12,39538223,"$7,056"
Central Bedfordshire,9/23/24,69,25,156,,$94.03,$0.00,$0.51, --,1,294200,$588
Cheshire East,9/23/24,123,75,170,,$32.62,$0.00,$1.34, --,0,398800,$0
Colorado,9/23/24,962,"7,994","1,290",188,$358.05,$28.33,$18.13,$2.09,1,5807719,$588
Connecticut,9/23/24,653,"5,045",881,115,$240.12,$12.41,$13.64,$0.75,1,3605597,$588
County Tyrone,9/23/24,45,12,50,,$6.77,$0.00,$0.12, --,0,182000,$0
Delaware,9/23/24,249,"1,039",380,26,$205.27,$4.94,$6.08,$0.33,0,1003384,$0
Devon,9/23/24,221,605,239,,$56.33,$0.00,$0.92, --,2,1194166,"$1,176"
District of Columbia,9/23/24,385,"3,320",909,74,$222.79,$8.67,$11.45,$0.87,0,689545,$0
Dundee City Council,9/23/24,44,31,104,,$6.12,$0.00,$0.74, --,0,148210,$0
England,9/23/24,"17,097","16,763","57,308",,"$5,861.46",$101.73,$337.96, --,57,56489800,"$33,516"
Essex,9/23/24,474,431,772,,$259.71,$1.33,$4.93, --,5,1832700,"$2,940"
Florida,9/23/24,"5,022","19,794","6,203",949,"$1,651.65",$177.40,$86.56,$20.95,7,21781128,"$4,116"
Georgia,9/23/24,"2,870","11,863","5,423",617,"$1,146.42",$86.17,$107.63,$6.74,11,10711908,"$6,468"
Glasgow City,9/23/24,265,244,534,,$126.77,$0.30,$2.64, --,0,635640,$0
Hampshire,9/23/24,409,129,513,,$155.66,$0.00,$2.64, --,0,1389200,$0
Hawaii,9/23/24,198,"1,690",983,131,$32.26,$2.06,$11.26,$1.05,0,1455271,$0
Idaho,9/23/24,208,"1,115",210,33,$72.63,$9.27,$2.44,$0.23,0,1839106,$0
Illinois,9/23/24,"2,291","15,005","5,422",360,$770.94,$101.59,$84.61,$3.51,4,12671469,"$2,352"
Indiana,9/23/24,"1,005","4,527","1,500",152,$313.34,$12.53,$23.50,$1.30,3,6785528,"$1,764"
Iowa,9/23/24,378,"1,684",557,42,$133.19,$3.42,$8.47,$0.28,0,3190369,$0
Isle of Anglesey,9/23/24,13,4,8,,$3.83,$0.00,$0.10, --,0,69961,$0
Kansas,9/23/24,349,"1,845",500,53,$167.39,$2.04,$8.45,$0.63,0,2937880,$0
Kent,9/23/24,485,689,"1,037",,$137.86,$0.70,$11.09, --,0,1589100,$0
Kentucky,9/23/24,617,"2,306",888,83,$180.38,$12.53,$19.40,$1.07,0,4505836,$0
Kingston upon Hull,9/23/24,76,54,148,,$34.02,$0.00,$0.90, --,2,259778,"$1,176"
Lancashire,9/23/24,342,155,597,,$211.77,$4.22,$4.02, --,5,1517500,"$2,940"
Louisiana,9/23/24,722,"3,454","1,375",162,$284.64,$9.55,$25.32,$1.95,8,4657757,"$4,704"
