geo,time,Search_impression,Display_impression,Video_impression,DemandGen_impression,Search_spend,Display_spend,Video_spend,Demand Gen_spend,Conversions,Population,Revenue_Per_Conversion
Alabama,10/9/23,368,23,"1,033",,$81.14,$15.50,$10.26, --,1,5039877,$588
Alaska,10/9/23,63,,250,,$21.60, --,$2.17, --,0,732673,$0
Arizona,10/9/23,577,11,"1,551",,$160.62,$0.00,$17.54, --,1,7359197,$588
Arkansas,10/9/23,114,3,550,,$22.49,$0.00,$5.80, --,1,3011524,$588
California,10/9/23,"29,826",84,"13,545",,"$1,820.23",$11.01,$144.48, --,40,39538223,"$23,520"
Colorado,10/9/23,481,13,"1,557",,$176.67,$7.33,$18.34, --,1,5807719,$588
Connecticut,10/9/23,325,3,930,,$105.61,$5.86,$9.12, --,1,3605597,$588
Delaware,10/9/23,92,2,235,,$36.05,$0.00,$2.55, --,0,1003384,$0
District of Columbia,10/9/23,214,6,397,,$48.01,$0.00,$4.85, --,0,689545,$0
Florida,10/9/23,"43,012",57,"5,629",,"$2,051.30",$0.21,$77.68, --,18,21781128,"$10,584"
Georgia,10/9/23,"1,000",202,"3,004",,$330.87,$36.83,$28.56, --,3,10711908,"$1,764"
Hawaii,10/9/23,534,4,"1,799",,$107.13,$0.00,$17.03, --,6,1455271,"$3,528"
Idaho,10/9/23,91,0,252,,$23.64,$0.00,$2.87, --,0,1839106,$0
Illinois,10/9/23,"1,210",194,"4,117",,$368.03,$32.30,$44.98, --,9,12671469,"$5,292"
Indiana,10/9/23,343,28,"1,202",,$95.38,$13.66,$11.13, --,2,6785528,"$1,176"
Iowa,10/9/23,128,13,440,,$28.36,$0.00,$4.57, --,0,3190369,$0
Kansas,10/9/23,125,5,493,,$28.86,$0.00,$4.97, --,0,2937880,$0
Kentucky,10/9/23,207,2,720,,$71.36,$0.00,$8.04, --,0,4505836,$0
Louisiana,10/9/23,"26,268",7,907,,$936.35,$0.00,$10.39, --,31,4657757,"$18,228"
Maine,10/9/23,123,,202,,$34.47, --,$2.79, --,0,1372247,$0
Maryland,10/9/23,610,6,"1,955",,$238.90,$10.69,$20.87, --,2,6165129,"$1,176"
Massachusetts,10/9/23,"1,489",358,"2,062",,$521.83,$34.47,$23.94, --,2,6984723,"$1,176"
Michigan,10/9/23,820,37,"2,012",,$330.75,$0.00,$21.32, --,4,10077331,"$2,352"
Minnesota,10/9/23,565,11,"1,259",,$146.41,$0.00,$14.34, --,1,5706398,$588
Mississippi,10/9/23,107,2,477,,$30.27,$0.00,$4.01, --,0,2949965,$0
Missouri,10/9/23,395,5,"1,218",,$133.58,$6.00,$11.19, --,0,6168187,$0
Montana,10/9/23,85,,168,,$29.56, --,$1.72, --,1,1084225,$588
Nebraska,10/9/23,128,0,395,,$55.29,$0.00,$3.86, --,0,1961504,$0
Nevada,10/9/23,407,7,"1,390",,$118.98,$0.00,$17.27, --,1,3104614,$588
New Hampshire,10/9/23,117,1,212,,$43.42,$1.15,$2.48, --,0,1388992,$0
New Jersey,10/9/23,937,8,"2,546",,$343.58,$0.00,$29.05, --,2,9288994,"$1,176"
New Mexico,10/9/23,94,2,372,,$18.33,$0.00,$3.55, --,1,2117522,$588
New York,10/9/23,"2,582",455,"6,945",,$838.00,$25.38,$88.55, --,12,19835913,"$7,056"
North Carolina,10/9/23,911,11,"2,498",,$340.26,$0.00,$25.91, --,5,10551162,"$2,940"
North Dakota,10/9/23,78,,102,,$17.82, --,$1.22, --,0,779702,$0
Ohio,10/9/23,724,18,"2,387",,$245.85,$7.75,$22.30, --,4,11780017,"$2,352"
Oklahoma,10/9/23,212,35,814,,$63.61,$2.19,$8.33, --,2,3986639,"$1,176"
Oregon,10/9/23,254,1,"1,236",,$60.10,$0.00,$12.44, --,0,4237256,$0
Pennsylvania,10/9/23,893,8,"2,909",,$281.51,$0.48,$38.94, --,2,12964056,"$1,176"
Rhode Island,10/9/23,103,,235,,$47.17, --,$4.75, --,0,1098163,$0
San Francisco Bay Area,10/9/23,873,14,"4,660",,$241.78,$0.00,$46.52, --,5,7753000,"$2,940"
Silicon Valley,10/9/23,182,2,"1,020",,$63.49,$0.00,$12.06, --,0,3137600,$0
South Carolina,10/9/23,505,21,922,,$142.04,$19.25,$10.84, --,1,5190705,$588
South Dakota,10/9/23,33,,128,,$9.40, --,$1.36, --,0,903027,$0
Tennessee,10/9/23,495,6,"1,379",,$156.18,$0.00,$13.25, --,0,6975218,$0
Texas,10/9/23,"2,761",108,"7,623",,$629.42,$13.75,$83.51, --,10,29527941,"$5,880"
Utah,10/9/23,201,1,682,,$86.13,$0.00,$7.89, --,1,3337975,$588
Vermont,10/9/23,49,,95,,$13.00, --,$1.17, --,0,643077,$0
Virginia,10/9/23,680,91,"2,187",,$205.51,$12.79,$23.10, --,1,8642274,$588
Washington,10/9/23,"1,217",11,"3,231",,$365.10,$0.00,$42.98, --,4,7796941,"$2,352"
West Virginia,10/9/23,95,3,275,,$44.21,$0.00,$2.70, --,1,1782959,$588
Wisconsin,10/9/23,327,18,"1,123",,$70.69,$2.37,$14.05, --,1,5893718,$588
Wyoming,10/9/23,38,,104,,$6.87, --,$1.30, --,0,577719,$0
Alabama,10/16/23,301,95,576,,$126.01,$8.14,$5.97, --,1,5039877,$588
Alaska,10/16/23,118,9,164,,$24.89,$2.33,$1.64, --,0,732673,$0
Arizona,10/16/23,561,36,930,,$321.26,$0.00,$12.93, --,2,7359197,"$1,176"
Arkansas,10/16/23,139,58,248,,$53.84,$0.00,$3.20, --,1,3011524,$588
California,10/16/23,"25,537",350,"7,419",,"$1,712.49",$12.51,$95.91, --,45,39538223,"$26,460"
Colorado,10/16/23,562,55,868,,$157.32,$8.19,$10.09, --,0,5807719,$0
Connecticut,10/16/23,336,15,515,,$124.40,$2.48,$5.96, --,0,3605597,$0
Delaware,10/16/23,56,6,139,,$8.41,$0.00,$1.73, --,0,1003384,$0
District of Columbia,10/16/23,210,8,239,,$75.09,$0.00,$3.61, --,0,689545,$0
Florida,10/16/23,"55,185",296,"3,283",,"$2,187.06",$22.61,$59.14, --,11,21781128,"$6,468"
Georgia,10/16/23,"1,037",422,"1,623",,$394.31,$76.06,$20.37, --,5,10711908,"$2,940"
